name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF
Gulliver_6,83.2915,-1.6276,0.519,31.117,103.658,207.316,343,-0.041,0.41,-0.238,0.376,32.647,4.675,13,2.354,0.117,0.556,1,7.134,0.041,413,4,-0.1,0.006,0.386,0.06,1.167,0.746,422,3,8,26,-9,-187.202,397.756,1,1,1
Gulliver_60,303.443,29.69,0.116,6.932,23.605,47.21,129,1.75,0.126,0.222,0.127,,,0,0.9,0.043,0.178,1,7.957,0.251,1070,31,-0.031,0.132,1.502,0.103,1.135,0.27,1111,14,5,16,-41,-554.002,1127.443,1,1,1
Gulliver_7,141.7507,-55.1269,0.028,1.696,6.077,12.154,90,-3.567,0.164,3.086,0.174,,,0,0.083,0.052,0.239,1,8.624,0.791,4632,1327,-0.123,0.223,1.921,0.19,1.44,0.563,11877,4509,12,42,-7245,-539.419,1096.836,0,1,1
Gulliver_8,80.5452,33.8063,0.111,6.639,13.931,27.862,38,-0.222,0.335,-2.942,0.297,,,0,0.848,0.105,0.447,1,7.468,0.127,1114,24,0.071,0.093,0.987,0.062,0.919,0.596,1147,20,5,10,-33,-418.9,852.351,1,1,1
Gulliver_9,126.7569,-47.8005,0.871,52.254,159.438,318.875,265,-5.996,0.305,6.883,0.378,29.621,3.034,16,1.977,0.096,0.486,1,7.326,0.031,477,7,-0.038,0.067,0.402,0.063,0.852,0.674,503,25,16,47,-26,-251.78,525.879,1,1,1
Haffner_10,112.1592,-15.3688,0.03,1.818,6.704,13.408,172,-1.124,0.168,1.565,0.165,,,0,0.261,0.104,0.235,1,9.704,0.096,3661,432,0.308,0.067,1.263,0.056,1.496,0.405,3855,313,5,16,-194,-385.226,791.043,1,1,1
Haffner_11,113.866,-27.7096,0.047,2.797,14.204,28.408,168,-1.469,0.146,3.157,0.141,98.935,0.925,2,0.142,0.065,0.203,1,8.911,0.045,4886,228,-0.155,0.084,1.91,0.053,1.457,0.576,7266,1452,12,61,-2380,-428.508,877.512,1,1,1
Haffner_13,115.2401,-30.0662,0.309,18.525,58.493,116.985,210,-6.189,0.261,5.887,0.218,33.885,6.225,8,1.735,0.08,0.34,1,7.63,0.05,561,4,0.086,0.045,0.174,0.035,0.564,0.571,574,3,7,20,-13,-161.467,344.323,1,1,1
Haffner_14,116.1825,-28.3842,0.078,4.703,19.966,39.931,195,-1.827,0.094,1.723,0.104,70.045,0.916,4,0.231,0.044,0.14,1,8.563,0.196,3062,113,-0.056,0.079,1.937,0.116,1.582,0.496,4417,315,13,52,-1355,-546.506,1114.103,1,1,1
Haffner_15,116.3813,-32.8471,0.031,1.848,8.022,16.045,175,-2.15,0.116,3.277,0.14,,,0,0.238,0.054,0.181,1,6.83,0.134,3046,796,-0.355,0.432,3.12,0.05,1.258,0.77,4196,333,5,20,-1150,-275.004,570.668,0,1,1
