name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF    
UBC586              ,  301.0860,   46.8206,   0.157,     9.392,      20.090,      40.180,      59,  -3.727,   0.182,  -4.887,   0.139,  -5.221,   1.149,       3,   0.336,   0.046,   0.229,       1,   8.887,   0.095,    2716,     206,  -0.001,   0.237,   1.738,   0.304,   1.337,   0.612,    2841,     114,      16,      34,    -125,    -426.762,     869.834,       1,       1,       1 
UBC588              ,  311.5884,   45.4047,   0.093,     5.604,      11.988,      23.975,      50,  -2.343,   0.141,  -2.639,   0.179,     nan,     nan,       0,   0.569,   0.096,   0.228,       1,   6.912,   0.570,    1732,      45,   0.132,   0.233,   2.987,   0.085,   2.517,   0.280,    1748,      40,       6,      13,     -16,    -381.408,     778.465,       1,       1,       1 
UBC59               ,   82.2367,   48.0455,   0.167,    10.034,      16.352,      32.704,     285,   0.663,   0.271,  -2.000,   0.281, -32.302,   0.711,       5,   0.342,   0.127,   0.390,       1,   8.953,   0.077,    2215,     202,  -0.234,   0.034,   1.119,   0.118,   0.998,   0.408,    2686,     135,      16,      26,    -471,    -218.911,     460.433,       1,       1,       1 
UBC590              ,  313.8305,   47.5791,   0.110,     6.589,      13.138,      26.276,      46,  -3.112,   0.094,  -4.110,   0.133,     nan,     nan,       0,   0.224,   0.058,   0.163,       1,   6.718,   0.976,    4350,     198,   0.324,   0.282,   3.204,   0.847,   0.959,   0.694,    4401,     418,      17,      34,     -51,    -338.542,     692.398,       1,       1,       1 
UBC591              ,  325.0185,   49.3157,   0.034,     2.054,       3.985,       7.970,      43,  -3.479,   0.139,  -4.899,   0.167,     nan,     nan,       0,   0.445,   0.085,   0.217,       1,   7.847,   0.538,    2013,      49,  -0.078,   0.107,   1.380,   0.153,   0.921,   0.146,    2250,      74,       3,       6,    -237,    -391.171,     797.386,       1,       1,       1 
UBC594              ,  359.5190,   61.4641,   0.041,     2.454,       4.196,       8.393,      59,  -2.061,   0.197,  -0.565,   0.143,     nan,     nan,       0,   0.200,   0.094,   0.243,       1,   6.976,   0.697,    4588,     439,   0.000,   0.315,   2.292,   0.128,   1.784,   0.543,    5209,     609,       8,      13,    -621,    -247.856,     512.023,       1,       1,       1 
UBC596              ,    3.3701,   53.8215,   0.063,     3.767,       8.425,      16.849,      36,  -2.229,   0.172,  -1.031,   0.160,     nan,     nan,       0,   0.480,   0.124,   0.235,       1,   8.383,   0.439,    1741,      71,  -0.079,   0.099,   0.876,   0.094,   0.661,   0.141,    1893,      57,       5,      10,    -152,    -282.751,     579.836,       1,       1,       1 
UBC599              ,   11.6796,   60.0724,   0.044,     2.662,       6.532,      13.065,      54,  -1.211,   0.166,  -0.200,   0.131,     nan,     nan,       0,   0.157,   0.100,   0.211,       1,   7.634,   0.462,    5578,     306,  -0.265,   0.046,   1.685,   0.076,   1.194,   0.000,    5928,    1050,      10,      23,    -350,    -317.420,     650.796,       1,       1,       1 
UBC600              ,   20.7769,   64.5081,   0.261,    15.687,      27.789,      55.577,     561,  -1.182,   0.134,   0.114,   0.136, -68.667,   0.574,       6,   0.154,   0.076,   0.191,       1,   6.731,   0.126,    5425,     402,   0.147,   0.123,   2.831,   0.061,   1.115,   0.961,    6436,    1398,      59,     105,   -1011,    -281.361,     588.041,       1,       1,       1 
UBC601              ,   20.3444,   62.5042,   0.124,     7.463,      10.617,      21.235,     135,  -1.839,   0.152,  -0.308,   0.145,     nan,     nan,       0,   0.277,   0.085,   0.210,       1,   6.895,   0.049,    3306,     207,  -0.074,   0.115,   2.601,   0.025,   2.656,   0.416,    3375,     250,      15,      21,     -69,    -243.788,     507.197,       1,       1,       1 
