RA_ICRS,DE_ICRS,dist_PLX,Diam_pc
92.193,24.2821,2383,6
5.4559,64.3731,1927,9
343.742,59.1676,3867,5
356.9204,68.6349,3811,7
358.2669,61.9545,3381,6
2.5551,61.1752,4328,9
8.0036,63.1644,2486,4
8.2435,61.8561,3270,5
10.9054,64.1732,3052,5
77.0807,39.0664,4175,5
343.0524,58.291,3222,5
347.0648,60.5271,2914,6
12.7442,58.1889,6035,10
353.305,58.4732,2015,4
357.4743,62.708,3279,4
110.4596,-0.9937,3583,8
291.1163,13.6937,3223,7
292.234,14.8862,2414,3
39.0184,59.0244,2645,5
48.6759,52.6932,2722,8
51.9831,56.4409,743,4
59.7752,51.7846,3493,7
87.3267,33.633,7628,7
86.8612,35.4287,3035,4
90.2392,35.2922,2523,7
84.2222,31.204,1849,5
88.103,29.8902,5561,10
92.2186,26.2629,5560,8
82.0876,34.7753,2257,2
275.6654,-14.7244,3737,1
296.2963,28.1605,8426,5
299.5338,30.8818,9420,9
300.4901,31.4229,2847,4
293.477,18.522,6761,4
323.8828,53.518,4441,3
281.8411,-5.2676,2131,9
256.9564,-44.1583,1913,8
170.2187,-59.3046,2873,5
337.8758,58.037,1416,8
112.1386,-20.1097,3664,12
190.9973,-58.094,1994,8
319.083,57.4571,1411,7
153.2421,-60.8995,2125,12
283.9709,-5.0955,1991,4
175.5139,-61.9569,1837,6
297.9665,22.1154,1718,5
107.498,4.6996,1248,7
247.1807,-54.9597,1460,6
130.7857,-45.7751,1539,18
127.4544,-41.3493,1398,9
167.7148,-56.8305,1227,4
307.5159,45.9208,1478,6
296.3903,21.1507,2323,6
156.0621,-72.511,1963,28
119.8144,-19.1309,3238,7
282.0978,8.718,2395,6
95.2662,-3.4087,1481,8
261.7609,-39.4051,2550,6
316.0766,42.0611,2121,6
102.8526,-1.8078,2558,8
118.6183,-27.5305,2995,6
211.9634,-59.7912,752,7
172.7443,-58.5014,1813,5
155.8151,-54.6311,1143,13
209.9775,-62.1538,2367,3
216.0855,-61.3332,966,6
229.1924,-58.3653,9254,7
233.3412,-55.2403,2860,5
235.4737,-56.6862,3277,8
245.17,-48.5198,2782,6
87.4284,27.0746,972,5
130.8112,-78.8672,98,1
276.6285,-50.8625,449,21
273.8205,-19.0053,1764,3
348.8114,60.4518,3093,4
5.5182,61.7611,2829,9
160.5196,-65.1058,2275,9
169.9174,-63.4876,2454,4
186.1533,25.6605,86,10
51.5337,48.9463,176,11
56.5923,24.1256,136,6
67.6881,16.8451,47,10
111.5675,-47.682,5473,16
114.3788,-12.0684,2304,7
114.6185,-10.7004,2712,5
240.4079,-54.1529,2488,3
7.8324,63.3583,4042,10
40.6558,61.6048,1133,8
6.3219,61.3262,3475,6
40.5175,42.7361,512,7
46.4837,44.3824,6273,6
47.9198,53.346,3367,3
48.6853,47.2349,3463,12
7.5766,60.2225,1957,10
52.8705,37.3953,665,7
53.5265,51.4144,2475,5
7.8943,61.5077,5533,5
57.3512,52.6558,1201,3
8.259,63.3302,3253,8
61.1066,52.6636,1633,3
61.9567,62.3349,1091,3
63.861,51.2279,1055,8
65.1827,50.2254,731,7
67.5011,35.3506,552,3
67.981,43.706,1006,9
68.744,45.2636,3385,6
71.4811,19.0612,596,9
72.246,10.8575,416,9
72.7535,43.674,1361,6
75.8809,52.8454,971,8
75.8475,49.4976,4103,9
75.9229,23.7069,734,11
76.1761,23.8106,906,4
77.0371,37.0143,1722,7
77.9181,47.6898,5622,8
78.1317,16.7023,1813,12
80.0321,39.3367,3127,7
11.8271,85.2411,1970,9
81.4804,46.49,4980,5
9.8894,61.0969,1295,4
80.7512,33.4424,3740,12
79.6967,-68.3043,424,8
82.0673,35.3244,1629,3
82.1714,35.8322,1144,7
84.0782,34.1362,1197,4
83.7945,-4.8018,392,2
83.8212,-5.9207,388,2
88.0734,32.5454,1500,9
88.4552,0.4027,1140,7
90.6574,49.8945,1339,5
90.2759,23.3359,2036,4
90.7309,10.4451,5095,14
92.2653,24.3383,884,10
92.1272,13.9426,1019,3
92.7081,-6.227,825,4
91.7279,-1.9281,585,7
93.0219,5.4545,2419,5
93.8226,39.8437,4477,7
93.451,12.8124,3803,11
93.8828,-18.6788,4786,17
95.1755,-7.2774,979,7
96.6463,-9.6436,3452,4
96.8676,-4.7068,326,6
97.4204,6.837,2858,8
97.3921,-31.2826,4739,8
98.071,4.9082,1621,14
10.7771,61.7783,698,5
98.6866,8.3558,1518,7
98.9495,7.6682,2747,4
99.6214,10.8867,3069,4
99.9017,1.1499,4485,7
100.213,9.8789,738,2
100.8315,26.977,3667,6
100.8183,4.6249,2284,3
102.0749,41.0488,527,8
101.9147,-3.1678,2459,7
101.5089,-20.7009,735,9
102.9518,0.4727,881,5
102.9824,-7.0875,1249,3
103.8028,17.9846,4575,7
104.0193,-7.1814,2546,5
104.4643,-4.6204,2164,5
104.8655,-13.8223,1397,9
105.6657,-8.3779,1002,10
106.0287,1.0463,5232,13
106.6794,-10.0161,1710,7
107.0277,-10.6118,1113,3
107.0743,-13.2034,2873,10
108.6343,-10.2663,1225,5
108.5142,-25.7384,1327,7
109.2472,13.7718,2012,6
109.2462,-17.1171,942,8
109.4409,-15.629,1109,6
109.6715,-24.9505,1347,3
110.0263,-21.8646,2531,5
111.0002,-13.2374,1315,8
111.1715,-20.9493,3516,5
111.2913,-21.0211,3018,7
111.9821,-11.7273,1530,10
112.3494,-13.9671,4915,3
113.29,-15.4492,6188,10
114.6047,21.5723,2757,5
114.0507,-20.6306,2914,10
114.1425,-14.4823,483,5
114.2933,-13.8345,956,10
114.572,-14.8836,3894,7
114.82,-16.5528,1415,8
115.2229,-19.0855,2029,5
115.4362,-14.9141,1649,12
115.1881,-31.6893,4308,11
116.157,-23.8633,1032,7
116.0678,-24.8332,1139,11
115.7565,-38.2625,193,8
116.0274,-37.8594,367,8
116.8895,-27.1895,4872,6
117.2773,-21.3046,3396,11
118.0444,-38.5364,1503,8
118.7563,-17.7307,1599,5
118.7945,-24.2631,1388,8
119.0645,-30.0595,2148,5
120.011,-10.7753,3422,11
120.1997,-19.0582,2753,6
119.5514,-60.7874,413,6
121.2333,-28.0944,651,9
121.7696,-29.8756,3043,7
122.6573,-12.8345,1326,9
123.0918,-37.647,966,8
122.4908,-49.1797,391,4
123.3988,-5.722,775,11
124.6552,-30.6263,1844,4
124.7228,-29.7715,1366,6
125.3667,-30.3045,5141,6
125.8358,-29.4983,3393,15
125.7994,-32.968,5022,4
129.3087,-29.9531,1917,6
130.0457,19.6131,186,7
129.6262,-34.777,7065,15
129.7813,-46.2318,1913,3
130.8655,-32.6614,5087,11
130.6307,-44.9978,2213,3
130.6685,-47.1983,3248,4
131.6062,-52.9321,1183,5
131.376,-48.8089,1545,6
131.5621,-41.8845,1455,4
132.8478,11.8144,881,6
139.0443,-36.6217,3633,10
139.8525,-40.5213,7048,7
140.5237,-51.0995,3047,2
142.6367,-52.917,1341,3
143.3302,-53.4211,772,4
145.0536,-50.3307,2068,3
147.1602,-56.4132,1878,6
150.1678,-54.7894,9645,6
150.5755,-60.057,1048,13
155.4742,-51.767,491,8
156.6339,-60.6765,8326,5
158.9624,-58.2277,2661,6
159.3735,-58.6139,2811,5
159.6521,-54.1424,1811,7
164.8823,-60.3361,2556,7
166.4144,-58.7238,484,8
167.6327,-60.3003,2660,7
168.2613,-60.7881,2770,3
16.6185,62.2184,2813,4
171.388,-43.2513,1071,5
174.0606,-61.6135,2176,8
17.0877,61.5936,1180,4
177.6404,-55.6789,2502,6
180.3905,-63.2311,3095,9
181.6047,-61.2493,2113,7
18.7936,60.1309,2160,4
186.0178,-58.127,2801,5
186.048,-61.8682,2041,5
18.9951,58.824,3813,6
187.1254,-60.0977,2107,5
187.4551,-64.8048,1913,4
19.8557,58.2968,3145,13
190.5822,-62.9832,1515,6
193.4193,-60.3731,2165,6
194.493,-64.9608,3836,6
195.0276,-59.6019,1329,5
201.841,-59.0292,1960,5
202.7908,-60.9459,3574,5
206.1589,-62.9063,2174,3
206.6192,-62.9119,1659,3
207.1883,-64.6799,2899,4
208.5365,-61.8863,1503,8
210.1953,-59.583,2637,10
211.8338,-48.2742,746,7
22.386,63.2979,3081,8
216.4109,-54.7843,1055,5
216.9531,-59.6329,2671,3
217.4496,-60.7194,2500,9
218.7456,-56.6495,776,8
220.8626,-57.5747,2297,5
222.1841,-54.5115,1123,5
223.3852,-52.6678,2116,3
23.3326,60.6595,2681,5
226.0894,-54.3637,842,10
226.3722,-55.6109,1920,8
231.8357,-54.508,1473,9
238.0474,-56.4828,3063,5
238.9593,-57.4417,2765,5
240.7582,-60.4342,788,7
241.8973,-54.0144,1873,3
243.2912,-54.2248,2259,8
244.7418,-57.9114,975,8
24.0957,64.5392,6952,5
246.3723,-40.6698,642,9
246.9582,-49.1651,1182,6
248.2078,-52.6236,1684,8
248.9352,-45.6452,909,3
250.0745,-43.3561,1752,5
250.2881,-48.7874,1232,6
251.0322,-47.4582,3072,12
251.5337,-47.0249,1241,3
252.3256,-53.7131,1205,7
252.3348,-44.7221,2726,6
253.5353,-41.8008,1697,9
253.8798,-39.4767,1324,5
254.4454,-44.8075,1269,2
254.5052,-45.9477,1011,4
254.7784,-52.7091,1776,4
255.196,-44.6734,2453,12
